category	author	title	type	collection	year	course
Optional	"[{:family=>""Kenley""}, {:given=>""Creque""}]"	Predicting Technology Operational Availability Using Technical Maturity Models				9
Optional	"[{:family=>""Hall"", :given=>""E.M.""}]"	Risks to Riches: Risk Management Return on Investment	book		1998	9
Optional	"[{:family=>""Duncan"", :given=>""W.R.""}]"	Chapter 11 in A Guide to the Project Management Body of Knowledge	chapter	Project Management World Today		9
Optional	"[{:family=>""Callahan"", :given=>""M.""}, {:family=>""Quackenbush"", :given=>""D.""}, {:family=>""Rowings"", :given=>""G.""}]"	Chapter 12 in Construction Project Scheduling			1992	9
Optional	"[{:family=>""Peña-Mora"", :given=>""F.""}, {:family=>""Cosa"", :given=>""C.""}, {:family=>""McCone"", :given=>""D.S.""}]"	Introduction to Construction Dispute Resolution	book		2002	9
Optional	"[{:family=>""Thamhain"", :given=>""H.""}]"	Chapter 6 in Engineering Management			1992	9
Optional	"[{:family=>""Kaplan""}, {:given=>""Norton""}]"	Systems Engineering Measurement Primer	book			9
Optional		Application and Management of the Systems Engineering Process	article-journal	IEEE	1220	9
Optional	"[{:family=>""Meredith"", :given=>""J.""}, {:family=>""Mantel"", :given=>""S.""}]"	Chapter 12 in Project Management: A Managerial Approach			2000	9
Optional	"[{:family=>""Gulliver"", :given=>""F.R.""}]"	Post Project Appraisals Pay	article-journal	Harvard Business Review	1987-03	9
Optional	"[{:family=>""Meredith"", :given=>""J.""}, {:family=>""Mantel"", :given=>""S.""}]"	Chapter 13 in Project Management: A Managerial Approach			2000	9
Optional	"[{:family=>""Sterman"", :given=>""J.""}]"	System Dynamics Modeling for Project Management			2000	9
Optional	"[{:family=>""Sterman"", :given=>""J.""}]"	Business Dynamics			2000	9
Required	"[{:family=>""Nise"", :given=>""Norman S.""}]"	Control Systems Engineering			2007	73
Optional	"[{:given=>""Rowell""}, {:given=>""Wormley""}]"	System Dynamics: An Introduction	book		1996	73
Optional	"[{:given=>""Dorf""}, {:given=>""Bishop""}]"	Modern Control Systems	book		1995	73
Optional	"[{:given=>""Ogata""}]"	Modern Control Engineering	book		1996	73
Required	"[{:family=>""Palm"", :given=>""William J.Modeling""}]"	Analysis			1999	67
Required	"[{:family=>""Ogata"", :given=>""Katsuhiko""}]"	System Dynamics			2003	67
Required	"[{:family=>""Kreyszig"", :given=>""E.""}]"	Advanced Engineering Mathematics			1999	172
Optional	"[{:family=>""Kreyszig"", :given=>""Erwin""}, {:family=>""Norminton"", :given=>""E.J.""}]"	Advanced Engineering Mathematics: Mathematica® Computer Manual			2001	172
Required		Hull Girder Response Analysis: Ship Structural Design	article-journal	Ch		98
Optional	"[{:family=>""Perelman"", :given=>""Leslie C.""}, {:family=>""Paradis"", :given=>""James""}, {:family=>""Barrett"", :given=>""Edward""}]"	The Mayfield Handbook of Technical and Scientific Writing			1998	166
Optional		The Science of Scientific Writing				166
Optional	"[{:family=>""Alley"", :given=>""Michael""}]"	The Craft of Scientific Presentations				166
Required	"[{:family=>""Yano"", :given=>""Masayuki""}, {:others=>true}]"	Math	article-journal	V2.1	2013-08	99
